t(s),Total retention volume 1,Total retention volume 2,Total retention volume 3,Flux surface 2: solute
100.0,1.209763019168826e+18,0.44345486517190974,0.0035356742287304564,-1.5792368053585874e-13
210.0,1.8985276418828608e+18,105.64071014018523,1.0824974455403313,-1.0032571387045575e-10
331.0,2.479509024434238e+18,7266.774480285117,95.79466291306863,-1.806189193245726e-08
464.1,3.02080838445501e+18,247393.09724002084,4182.950853257085,-1.5632049480050077e-06
610.5100000000001,3.548354276656648e+18,5159047.196131101,111365.02222647797,-8.019286974729641e-05
771.5610000000001,4.0757454906676413e+18,73977962.75039178,2027477.6800209943,-0.002732007892232221
948.7171000000003,4.611619330236342e+18,784727528.1912831,27138893.202247478,-0.066418578960606
1143.5888100000004,5.162255149930471e+18,6477467382.328414,280863195.1030474,-1.211310721230422
1357.9476910000005,5.732705683625417e+18,43188136496.206406,2332318772.389468,-17.196230350179814
1593.7424601000007,6.327362536399357e+18,239374713552.5718,15992853666.897907,-195.5497812946465
1853.116706110001,6.950270122784398e+18,1128461468816.7007,92653686504.08864,-1822.6426946463491
2138.4283767210013,7.605315100209018e+18,4610125983810.502,462132567068.7379,-14190.208915193221
2452.2712143931017,8.296348061486694e+18,16577999737013.03,2015966824846.6865,-93767.20138415755
2797.498335832412,9.027263685350627e+18,53173047149873.25,7795579705308.065,-533137.887021577
3177.2481694156536,9.802049963086619e+18,153862449274392.5,27033644423100.133,-2639630.302389032
3594.9729863572193,1.0624807707328723e+19,405652069255147.5,84929681906036.47,-11501214.873815099
4054.4702849929417,1.1499735276312752e+19,982946834580482.5,243894136077649.78,-44517675.01290285
4559.917313492237,1.2431069734421592e+19,2205999627080172.5,645337329126461.9,-154381916.76684248
5115.909044841461,1.3422974925367431e+19,4617033943081993.0,1584559103224163.0,-483376216.72219944
5727.499949325607,1.447936962514206e+19,9067369444610256.0,3633693343760856.0,-1376142359.5076234
6400.249944258168,1.560369495528337e+19,1.6802676257355288e+16,7827446138119647.0,-3585509064.6123996
7140.274938683986,1.6798628597644734e+19,2.952900836073501e+16,1.592223709996938e+16,-8601153212.966045
7954.302432552385,1.8065762354435717e+19,4.944159278161283e+16,3.073089384579989e+16,-19103188433.052486
8849.732675807623,1.940526727087753e+19,7.920253280489534e+16,5.652316759089655e+16,-39487686196.770325
9834.705943388386,2.0815575228704e+19,1.2186210121915202e+17,9.946922994033128e+16,-76338782180.86935
10918.176537727226,2.2293106753142407e+19,1.8072916738786957e+17,1.6809189285360576e+17,-138660438768.59134
12109.994191499949,2.383207184174358e+19,2.5920677029945027e+17,2.7368630233549213e+17,-237668345621.12094
13420.993610649944,2.542436483925812e+19,3.606163587591123e+17,4.306649971797414e+17,-386009334912.30585
14863.092971714941,2.705956713807583e+19,4.8803716463300486e+17,6.567917128865059e+17,-596425353550.5857
16449.402268886435,2.8725064191622648e+19,6.441852040903589e+17,9.732779578256129e+17,-880078431573.3062
18194.34249577508,3.0406277035025994e+19,8.313502439584215e+17,1.4047301130633364e+18,-1244941112818.7922
20113.77674535259,3.2087003660241445e+19,1.0514001090252339e+18,1.978949298722497e+18,-1694767066798.6917
22225.154419887847,3.3749862001756357e+19,1.305851570123439e+18,2.7265994937280993e+18,-2229143681666.812
24547.669861876635,3.5376823265737142e+19,1.595997369679932e+18,3.680769929907018e+18,-2844985769108.2134
27102.436848064302,3.694982095147227e+19,1.9230712170782797e+18,4.876464732276015e+18,-3539591919133.267
29912.680532870734,3.8451416311993475e+19,2.2884280707885501e+18,6.350055816379688e+18,-4315116052832.576
33003.948586157814,3.986549470574295e+19,2.693716471854961e+18,8.138734354772604e+18,-5184078480007.232
36404.3434447736,4.117795947487006e+19,3.141023073993793e+18,1.0279992305068157e+19,-6175407144158.996
40144.77778925096,4.237738163599938e+19,3.6329758637240207e+18,1.2811159403931206e+19,-7340486106127.497
43545.17264786675,4.329757770073357e+19,4.0793722337481784e+18,1.5234745214453942e+19,-8502100557699.726
46636.44070115383,4.4013901456540385e+19,4.4841936498920407e+18,1.7524217041576073e+19,-9666092023872.186
49446.68438596026,4.457907414368414e+19,4.851274608457785e+18,1.966679550817965e+19,-10829569902962.14
52001.45137214792,4.503055343101227e+19,5.184166805904775e+18,2.165849888902072e+19,-11985134680428.049
54811.695056954355,4.546191373184362e+19,5.549340153933262e+18,2.3894674835740545e+19,-13374357497633.902
57366.46204314202,4.580679524396857e+19,5.880482129942107e+18,2.595975353575529e+19,-14752273613711.838
59688.9774851308,4.608570885751816e+19,6.180834588383109e+18,2.7860162254622216e+19,-16105287981968.861
61800.35515966606,4.631365119863306e+19,6.45331870631298e+18,2.960445815042696e+19,-17421580721896.832
63719.789409243574,4.650173410688504e+19,6.700567685937786e+18,3.120228851029807e+19,-18691629318444.34
65831.16708377884,4.6687891453768204e+19,6.97198158550738e+18,3.2972572219135513e+19,-20171823345200.918
67750.60133335635,4.684163527363034e+19,7.21825853246948e+18,3.4591020506867667e+19,-21593822321200.953
69861.97900789161,4.699397116969158e+19,7.488600948839068e+18,3.6380684959661994e+19,-23243868802994.535
71781.41325746912,4.711992029832996e+19,7.733899265491911e+18,3.801425740776052e+19,-24822207384221.28
73892.79093200438,4.724488014162037e+19,8.003156025033679e+18,3.981781788738247e+19,-26645771355973.492
75812.22518158189,4.734833101963913e+19,8.247457118286628e+18,4.146194761440933e+19,-28382846407450.277
77557.16540847054,4.743472795003758e+19,8.469149098830221e+18,4.295969356873595e+19,-30027826388965.297
79476.59965804804,4.752139705402191e+19,8.712518503129211e+18,4.461015009090914e+19,-31910081276354.555
81221.53988493669,4.759388028598117e+19,8.933350371465989e+18,4.611242898802427e+19,-33686909711617.543
83140.9741345142,4.766671249772386e+19,9.175755954899217e+18,4.7766515740587975e+19,-35713844533441.03
84885.91436140284,4.772772308733742e+19,9.395695779152474e+18,4.927105570435529e+19,-37621782305082.625
86805.34861098035,4.778914531865554e+19,9.637099514633335e+18,5.092647086611932e+19,-39792208977282.73
88550.288837869,4.784069492385278e+19,9.856110588010963e+18,5.243132866270739e+19,-41829869260492.14
90469.7230874465,4.789270712831232e+19,1.0096469829792655e+19,5.40860988496837e+19,-44141948293572.5
92214.66331433515,4.793645346617928e+19,1.031451173137361e+19,5.5589604874122396e+19,-46307408681918.58
94134.09756391266,4.7980703674990264e+19,1.0553780293497055e+19,5.724203037221845e+19,-48758772047477.664
95879.0377908013,4.801801272988578e+19,1.077080980651205e+19,5.874274320434032e+19,-51049671849079.125
97465.3470879728,4.804971188758014e+19,1.096769883980107e+19,6.010557560647074e+19,-53183475159631.43
99210.28731486145,4.8082132084787675e+19,1.1183769544907385e+19,6.1602671995477565e+19,-55586233452368.62
100000.0,4.809632388154507e+19,1.1281452418301815e+19,6.227977354113558e+19,-56692584839934.59
