t(s),Total retention volume 8,Total retention volume 7,Total retention volume 6,Flux surface 10: solute,Flux surface 11: solute,Flux surface 12: solute
1000.0,4.575285212431805e+16,2419951672007.553,943086779725.5034,-2038642.639905192,-113933326517473.27,-1.9784312685380947e-58
2100.0,7.27125992133933e+16,19502877586222.684,9284894033200.88,-24886615.712346464,-115950202605171.3,-9.350847868106341e-57
3310.0,9.627044673579211e+16,81175613448811.0,46960883440938.8,-150251549.27806804,-116684557180411.2,-1.979703664103058e-55
4641.0,1.1871586344663291e+17,235445713802326.22,164251882078842.2,-603541275.6296782,-117103024529343.94,-2.4203722920118524e-54
6105.1,1.407967942640089e+17,539784689724968.94,450002407654746.0,-1828770903.054982,-117389670459999.42,-1.675606707491584e-53
7715.610000000001,1.6280484755672496e+17,1049087343046390.6,1034955095084847.9,-4489072494.744674,-117606261491357.03,-3.315431250905042e-54
9487.171,1.848440455971721e+17,1806546622604246.0,2087774673889472.2,-9354112412.419666,-117780087012730.78,1.966922527821149e-51
11435.8881,2.0693167469029907e+17,2840160459348648.5,3806306038406355.0,-17106818974.847015,-117925357030418.88,4.152249365778849e-50
13579.476910000001,2.290458098454716e+17,4164121778490265.0,6407377464181870.0,-28154552953.188694,-118050322608552.9,6.4219345197196335e-49
15937.424601000002,2.5115046701777344e+17,5782930731895746.0,1.0117652509786632e+16,-42525827364.153175,-118160157720611.47,8.044789650966371e-48
18531.167061100005,2.7320962321589056e+17,7696242230558961.0,1.5166795156450468e+16,-59885235948.108025,-118258295029251.62,7.747646734358181e-47
21384.283767210007,2.951951164486888e+17,9903207464773820.0,2.178325079110328e+16,-79645349676.84511,-118347110427311.7,4.876726984940611e-46
24522.712143931007,3.1709091988320595e+17,1.240575708990232e+16,3.0192429550954664e+16,-101124355811.72105,-118428302547970.22,3.670791602146237e-46
27974.98335832411,3.38895091786342e+17,1.5210719333996468e+16,4.061689090789382e+16,-123697628757.3562,-118503117240198.67,-3.7603185054892183e-44
31772.481694156522,3.6062011176410304e+17,1.833090007530677e+16,5.327809997896926e+16,-146909294308.077,-118572487843338.75,-5.909376285676341e-43
35949.729863572175,3.822920375367722e+17,2.1785351979518812e+16,6.839934316249205e+16,-170532004333.08972,-118637127010357.53,-5.864201426221009e-42
40544.702849929396,4.03948807237863e+17,2.5599083833522428e+16,8.620940746904982e+16,-194580193267.47403,-118697589106488.92,-4.49054998330184e-41
45599.17313492234,4.256379812503407e+17,2.9802441282680492e+16,1.0694664057868646e+17,-219290896011.23724,-118754313791404.36,-2.838661843261923e-40
51159.09044841458,4.4741421000124666e+17,3.4430367806066612e+16,1.3086345302286307e+17,-245027109684.48648,-118807656982760.0,-1.539853338534797e-39
57274.999493256044,4.6933669634066797e+17,3.952160249032788e+16,1.5822913851430797e+17,-272434726013.27225,-118857913017639.64,-7.461484267821532e-39
64002.499442581655,4.914668834233695e+17,4.511796338276329e+16,1.893338853206259e+17,-302160345115.7778,-118905330505360.73,-3.48307122553999e-38
71402.74938683983,5.138665365575905e+17,5.1263708039019016e+16,2.2449092663053088e+17,-334960596877.4724,-118950123601269.05,-1.8190858340101979e-37
79543.02432552382,5.365963121629775e+17,5.8004945666229736e+16,2.6403795392511978e+17,-371657567191.1316,-118992479962473.25,-1.225160347278286e-36
88497.3267580762,5.597148315100127e+17,6.538906156128646e+16,3.083374370662616e+17,-413126157117.7007,-119032566332516.9,-1.0035769463975947e-35
98347.05943388383,5.832782136810344e+17,7.346410237944651e+16,3.577757587722642e+17,-460286666354.1692,-119070532470282.23,-8.52052521837474e-35
100000.0,5.871817806417029e+17,7.481783383345646e+16,3.660903717834785e+17,-468540558323.9992,-119076738894259.75,-9.997314760291404e-35
