t(s),Total retention volume 6,Total retention volume 7,Total retention volume 8,Flux surface 10: solute,Flux surface 11: solute,Flux surface 12: solute,Flux surface 13: solute
1000.0,203862229677986.4,-5286763986.644071,-1982966534.857669,6688.409816741968,-339078592621.5593,-131564086870.2813,-1.652268717415293e-36
2100.0,304076748299594.1,67225273119.40619,28607322603.81224,-146697.1089555859,-361064923594.56476,-139084833917.83603,-1.6664251771278986e-35
3310.0,385422600922798.25,422385688210.6148,235341428265.166,-1608549.0813286188,-368580947851.7823,-141321437318.45786,-2.8108749813251814e-34
4641.0,459236423222963.3,1305348252107.527,916261767287.1486,-7656716.45540457,-372687129288.96,-142454241816.5971,-1.6669276339253374e-33
6105.1,528949092002312.25,2910576175565.272,2513929736736.4624,-23922636.974007506,-375433908472.1719,-143172847212.8419,-4.302270376418162e-33
7715.610000000001,595876615293631.2,5342738830208.431,5567749016513.113,-56987552.89439868,-377489216980.4816,-143686222173.34387,-3.9578177958482646e-33
9487.171,660566379725694.6,8623241351775.018,10657811689278.5,-112098982.20143661,-379138725056.292,-144080414520.9,-2.0950953080145523e-33
11435.8881,723253228334643.9,12716722959238.787,18358726891416.055,-191363788.80993256,-380524746447.1635,-144397996345.1715,-6.247601588266965e-32
13579.476910000001,784047425201680.2,17559157690900.04,29208943646047.746,-293227459.2731233,-381725359947.1422,-144662736995.2877,-2.5818700323505736e-31
15937.424601000002,843021053437931.1,23079782866114.844,43693799556519.586,-413177126.5051031,-382786670263.2862,-144889081331.65146,1.1228579106554564e-30
18531.167061100005,900249646082952.8,29215427721823.445,62238395606444.96,-545096340.4524326,-383737925604.5785,-145086369755.70688,1.9086029324420003e-29
21384.283767210007,955831503394909.1,35918304114972.93,85206817196689.98,-682661913.8528212,-384599249380.4143,-145260933304.489,1.2995442699578e-28
23978.02622731001,1001356036345150.4,41925408470858.14,107817525036402.03,-798623387.9759548,-385267141845.3449,-145393994186.2398,4.277230558114741e-28
26335.97391831001,1039256208652656.4,47297033440115.984,129545671116939.88,-895684003.8228523,-385799383490.6495,-145498598290.83948,1.0243760407829374e-27
28479.56272831001,1071230158115695.5,52100564740149.96,150100318377082.56,-976968903.4184618,-386232753820.6681,-145582795379.3872,2.023905533198404e-27
30428.279828310013,1098499111865231.6,56400247029145.59,169339280379158.8,-1045337343.9629014,-386591762226.11426,-145651832031.82245,3.504383596314653e-27
32199.840828310014,1121964735859850.4,60253944385127.73,187213853623851.0,-1103189514.4053922,-386893363395.60895,-145709282256.59647,5.507948055417203e-27
33810.35082831002,1142308403244381.5,63712622626690.79,203733195628419.06,-1152466937.2095175,-387149661351.64636,-145757670407.47205,8.038776445031336e-27
35274.450828310015,1160055701669627.2,66820816284935.42,218941388030852.7,-1194716419.5804977,-387369535070.9529,-145798833879.28983,1.1067117712730289e-26
36605.450828310015,1175619481753787.5,69617383368781.75,232902659439078.44,-1231165325.8830261,-387559654172.4689,-145834144331.74115,1.4536850256081347e-26
37815.450828310015,1189329287449998.5,72136279298714.92,245691870393157.53,-1262789530.076625,-387725134470.13885,-145864648053.21674,1.837430317776834e-26
38915.450828310015,1201451925352827.2,74407256731729.88,257388409351992.84,-1290369148.9366407,-387869973158.9246,-145891158083.34824,2.2496714615521128e-26
